"price","finsqft","bedrooms","bathrooms","ac","garagesize","pool","quality","lotsize","highway"
360000,3032,4,4,"yes",2,"no","medium",22221,"no"
340000,2058,4,2,"yes",2,"no","medium",22912,"no"
250000,1780,4,3,"yes",2,"no","medium",21345,"no"
205500,1638,4,2,"yes",2,"no","medium",17342,"no"
275500,2196,4,3,"yes",2,"no","medium",21786,"no"
248000,1966,4,3,"yes",5,"yes","medium",18902,"no"
229900,2216,3,2,"yes",2,"no","medium",18639,"no"
150000,1597,2,1,"yes",1,"no","medium",22112,"no"
195000,1622,3,2,"yes",2,"no","low",14321,"no"
160000,1976,3,3,"no",1,"no","low",32358,"no"
190000,2812,7,5,"no",2,"yes","low",56639,"no"
559000,2791,3,4,"yes",3,"no","high",30595,"no"
535000,3381,5,4,"yes",3,"no","high",23172,"no"
525000,3459,5,4,"yes",2,"no","high",35351,"no"
299900,2090,3,3,"yes",2,"no","medium",24025,"no"
527000,3232,5,5,"yes",2,"no","medium",21445,"no"
169900,1502,2,2,"yes",2,"no","medium",28958,"no"
335250,2747,3,4,"yes",2,"no","medium",22241,"no"
323900,2890,4,3,"yes",2,"no","medium",41992,"no"
200000,1825,3,3,"yes",2,"no","medium",30266,"no"
211000,1578,4,3,"yes",2,"no","medium",18829,"no"
212000,1763,3,3,"yes",2,"no","medium",24726,"no"
245000,2517,4,3,"yes",2,"no","medium",23261,"no"
140400,1872,3,2,"yes",2,"no","medium",24017,"no"
295000,3266,3,3,"yes",2,"no","medium",24881,"no"
170900,2020,1,2,"yes",1,"no","medium",21385,"no"
229000,2164,4,2,"yes",2,"no","medium",28291,"no"
218500,2080,3,2,"yes",2,"yes","medium",14752,"no"
160000,2208,2,2,"yes",2,"no","medium",8058,"no"
259000,3048,6,4,"yes",3,"no","medium",29307,"no"
164500,1460,3,2,"yes",2,"no","medium",9999,"no"
280000,2540,3,2,"no",2,"no","medium",42428,"no"
154000,2208,2,2,"yes",2,"no","medium",6746,"no"
272000,2560,4,2,"yes",3,"no","medium",36100,"no"
180000,2061,4,2,"no",2,"no","medium",20138,"no"
157500,1980,3,2,"yes",2,"no","medium",32519,"no"
242500,3308,5,4,"yes",2,"no","medium",47323,"no"
182000,2616,5,3,"no",2,"no","low",11123,"no"
178000,1460,4,2,"yes",2,"no","low",27095,"no"
171900,1580,2,1,"no",1,"no","low",12417,"no"
165500,1460,3,2,"yes",2,"no","low",22493,"no"
183500,1540,3,2,"yes",2,"no","low",15801,"no"
135000,1388,2,1,"no",2,"no","low",26106,"no"
175000,1624,3,2,"yes",2,"no","low",39219,"no"
149500,1580,2,1,"yes",2,"no","low",11166,"no"
177500,1820,3,2,"yes",2,"no","low",22104,"no"
155000,1733,4,1,"yes",1,"no","low",22398,"no"
145000,1896,3,2,"no",2,"no","low",32753,"no"
178000,2038,2,2,"no",2,"no","low",47884,"no"
156000,1436,3,2,"no",3,"no","low",43594,"no"
159000,1690,3,2,"no",1,"no","low",28518,"no"
160000,1496,2,2,"no",1,"no","low",43335,"no"
112000,1668,2,1,"no",1,"no","low",19612,"no"
84000,980,1,1,"no",1,"no","low",17686,"no"
155000,2562,3,2,"no",2,"no","low",40800,"no"
360000,2304,5,4,"yes",3,"no","medium",70240,"no"
104000,1268,2,1,"no",1,"no","low",21067,"no"
420000,2283,3,3,"yes",3,"no","high",18524,"yes"
355000,2060,2,3,"yes",2,"no","medium",38623,"yes"
165000,2087,2,2,"yes",2,"no","medium",24764,"yes"
244000,2081,4,2,"yes",2,"no","medium",24993,"yes"
179900,1696,3,3,"yes",2,"no","medium",22294,"yes"
253000,2222,4,2,"no",2,"no","medium",71527,"yes"
200000,2110,5,3,"yes",2,"no","medium",15332,"yes"
200000,1774,4,2,"no",2,"no","low",15528,"yes"
147700,1592,3,2,"yes",2,"no","low",11221,"yes"
188700,1748,3,2,"yes",2,"no","low",23939,"yes"
177000,1985,3,1,"no",2,"no","low",69975,"yes"
585000,2558,2,4,"yes",3,"yes","high",24601,"no"
549900,4000,6,5,"yes",3,"yes","high",23595,"no"
675000,3942,4,3,"yes",2,"no","high",18920,"no"
830000,3889,4,4,"yes",3,"no","high",28378,"no"
920000,3857,4,5,"yes",3,"no","high",32793,"no"
855000,4756,4,4,"yes",3,"no","high",22215,"no"
585500,3302,4,3,"yes",3,"no","high",26463,"no"
399000,2629,3,3,"yes",2,"no","high",24778,"no"
790000,4418,5,5,"yes",3,"no","high",22024,"no"
665000,4746,4,4,"yes",3,"no","high",23368,"no"
725000,3242,3,3,"yes",3,"no","high",27173,"no"
647000,2464,3,3,"yes",3,"no","high",31703,"no"
780000,4419,4,5,"yes",7,"no","high",56127,"no"
657500,3877,3,3,"yes",3,"no","high",24639,"no"
578000,3808,5,4,"yes",3,"no","high",23324,"no"
500000,3376,5,4,"yes",2,"no","high",18452,"no"
484530,2940,3,3,"yes",3,"yes","high",20639,"no"
609000,2654,5,3,"yes",3,"no","high",12821,"no"
635000,2672,4,3,"yes",3,"no","high",28049,"no"
519000,3386,4,4,"yes",3,"no","high",24008,"no"
625100,3648,4,4,"yes",3,"no","high",26604,"no"
585444,3455,4,5,"yes",3,"no","high",22468,"no"
399900,3321,3,4,"yes",3,"yes","high",15012,"no"
389900,2817,4,3,"yes",3,"no","high",31214,"no"
649000,3210,3,5,"yes",3,"no","high",30033,"no"
535000,3588,4,5,"yes",3,"no","high",22530,"no"
640000,2705,3,3,"yes",3,"no","high",22196,"no"
600000,2344,4,3,"yes",2,"no","high",86004,"no"
582500,4264,5,4,"yes",4,"no","high",24983,"no"
545000,2615,3,3,"yes",3,"no","high",21722,"no"
480000,3608,6,4,"yes",3,"no","high",25219,"no"
595000,2479,4,4,"yes",3,"no","high",29805,"no"
610000,3251,3,4,"yes",3,"yes","high",25570,"no"
570000,2547,2,3,"yes",3,"no","high",21789,"no"
479000,5032,7,3,"yes",3,"no","high",22000,"no"
545000,4973,6,6,"yes",3,"yes","high",56139,"no"
335000,2582,4,3,"yes",2,"no","high",23256,"no"
629000,3139,6,4,"yes",2,"yes","high",21810,"no"
505500,3516,4,4,"yes",3,"no","high",19867,"no"
528750,2129,0,0,"yes",3,"no","high",37414,"no"
370000,2936,4,4,"yes",3,"no","high",16437,"no"
529000,3351,5,4,"yes",3,"no","high",24216,"no"
490000,3136,4,4,"yes",3,"no","high",27158,"no"
535000,3525,4,5,"yes",3,"no","high",27501,"no"
612000,3917,6,5,"yes",3,"no","high",37972,"no"
442500,2702,4,3,"yes",3,"no","high",39643,"no"
500000,3644,3,4,"yes",3,"no","high",21895,"no"
539000,3072,4,4,"yes",3,"no","high",25158,"no"
545500,3233,4,4,"yes",3,"no","high",22961,"no"
424000,2918,4,4,"yes",3,"no","high",22003,"no"
325000,3266,4,3,"yes",3,"no","high",16640,"no"
367000,2940,4,7,"yes",2,"no","high",22003,"no"
470000,3430,3,4,"yes",2,"yes","high",25018,"no"
393000,2472,4,4,"yes",3,"no","high",21784,"no"
530000,2878,4,4,"yes",3,"no","high",68351,"no"
400000,2537,3,3,"yes",2,"no","high",11053,"no"
403500,3858,4,4,"yes",3,"no","high",22224,"no"
550000,2742,3,3,"yes",3,"no","high",22306,"no"
380000,3460,5,4,"yes",2,"no","high",18571,"no"
500000,3836,5,4,"yes",3,"no","high",48465,"no"
465000,4453,7,5,"yes",2,"no","high",15595,"no"
451500,4080,5,4,"yes",3,"no","high",22134,"no"
336000,3301,3,4,"yes",2,"no","high",18741,"no"
550000,3828,4,5,"yes",2,"yes","high",17051,"no"
450000,2973,4,3,"yes",2,"no","medium",21999,"no"
440000,2821,5,4,"yes",2,"yes","medium",32914,"no"
515000,2950,5,3,"yes",2,"no","medium",21598,"no"
415000,2362,3,3,"yes",2,"no","medium",21604,"no"
380000,3092,3,4,"yes",2,"no","medium",20081,"no"
489500,2866,4,4,"no",2,"no","medium",22424,"no"
478000,3369,5,4,"yes",3,"no","medium",21161,"no"
460000,3068,4,4,"yes",3,"no","medium",18289,"no"
379900,2380,3,3,"yes",3,"no","medium",21999,"no"
390000,2225,2,3,"yes",3,"no","medium",38722,"no"
338000,2655,3,3,"yes",2,"no","medium",21960,"no"
675000,3855,4,4,"yes",3,"no","medium",35845,"no"
440000,2892,4,4,"yes",2,"no","medium",35839,"no"
